game_id,move_id,vision,vision_simple,vision_advanced,vision_expert,snake_length,head_direction,head_pos,apple_pos,move,apple_pos_new,facing_apple,closed_region,hit,life,prob_to_live
7156,0,0030,1101,11011001,110110010010,3,0,"(5, 5)","(1, 1)",0,"(1, 1)",1,0,0,1,
7156,1,0030,1101,11011001,110110010010,3,0,"(5, 4)","(1, 1)",3,"(1, 1)",1,0,0,1,
7156,2,0300,1011,10111001,101110010100,3,3,"(4, 4)","(1, 1)",3,"(1, 1)",1,0,0,1,
7156,3,0300,1011,10111001,101110010100,3,3,"(3, 4)","(1, 1)",3,"(1, 1)",1,0,0,1,
7156,4,0300,1011,10111001,101110010100,3,3,"(2, 4)","(1, 1)",2,"(1, 1)",0,0,0,1,
7156,5,3000,0111,01111001,011110011000,3,2,"(2, 5)","(1, 1)",2,"(1, 1)",0,0,0,1,
7156,6,3000,0111,01111001,011110011000,3,2,"(2, 6)","(1, 1)",1,"(1, 1)",0,0,0,1,
7156,7,0003,1110,11101001,111010010001,3,1,"(3, 6)","(1, 1)",2,"(1, 1)",0,0,0,1,
7156,8,3000,0111,01111001,011110011000,3,2,"(3, 7)","(1, 1)",2,"(1, 1)",0,0,0,1,
7156,9,3000,0111,01111001,011110011000,3,2,"(3, 8)","(1, 1)",2,"(1, 1)",0,0,0,1,
7156,10,3050,0101,01011001,010110011000,3,2,"(3, 9)","(1, 1)",2,"(1, 1)",0,0,5,0,
7157,0,0030,1101,11011100,110111000010,3,0,"(5, 5)","(6, 2)",1,"(6, 2)",1,0,0,1,
7157,1,0003,1110,11101000,111010000001,3,1,"(6, 5)","(6, 2)",0,"(6, 2)",1,0,0,1,
7157,2,0030,1101,11011000,110110000010,3,0,"(6, 4)","(6, 2)",0,"(6, 2)",1,0,0,1,
7157,3,1030,1101,11011000,110110000010,3,0,"(6, 3)","(6, 2)",0,"(9, 5)",1,0,1,1,
7157,4,0030,1101,11010110,110101100010,4,0,"(6, 2)","(9, 5)",2,"(9, 5)",1,0,3,0,
