game_id,move_id,vision,snake_length,head_direction,head_pos,apple_pos,move,vision_new,snake_length_new,head_direction_new,head_pos_new,apple_pos_new,hit,life
12,28,0200,3,3,"(2, 6)","(4, 9)",0,0020,3,0,"(2, 5)","(4, 9)",0,1
12,29,0020,3,0,"(2, 5)","(4, 9)",0,0020,3,0,"(2, 4)","(4, 9)",0,1
12,30,0020,3,0,"(2, 4)","(4, 9)",3,0200,3,3,"(1, 4)","(4, 9)",0,1
12,31,0200,3,3,"(1, 4)","(4, 9)",0,0020,3,0,"(1, 3)","(4, 9)",0,1
12,32,0020,3,0,"(1, 3)","(4, 9)",1,0002,3,1,"(2, 3)","(4, 9)",0,1
12,33,0002,3,1,"(2, 3)","(4, 9)",1,0002,3,1,"(3, 3)","(4, 9)",0,1
12,34,0002,3,1,"(3, 3)","(4, 9)",2,2000,3,2,"(3, 4)","(4, 9)",0,1
12,35,2000,3,2,"(3, 4)","(4, 9)",1,0002,3,1,"(4, 4)","(4, 9)",0,1
12,36,0002,3,1,"(4, 4)","(4, 9)",0,0020,3,0,"(4, 3)","(4, 9)",0,1
12,37,0020,3,0,"(4, 3)","(4, 9)",2,0020,3,0,"(4, 2)","(4, 9)",0,1
12,38,0020,3,0,"(4, 2)","(4, 9)",1,0002,3,1,"(5, 2)","(4, 9)",0,1
12,39,0002,3,1,"(5, 2)","(4, 9)",0,0020,3,0,"(5, 1)","(4, 9)",0,1
12,40,0020,3,0,"(5, 1)","(4, 9)",2,3020,3,0,"(5, 0)","(4, 9)",0,1
12,41,3020,3,0,"(5, 0)","(4, 9)",3,3200,3,3,"(4, 0)","(4, 9)",0,1
12,42,3200,3,3,"(4, 0)","(4, 9)",3,3200,3,3,"(3, 0)","(4, 9)",0,1
12,43,3200,3,3,"(3, 0)","(4, 9)",1,3200,3,3,"(2, 0)","(4, 9)",0,1
12,44,3200,3,3,"(2, 0)","(4, 9)",2,2000,3,2,"(2, 1)","(4, 9)",0,1
12,45,2000,3,2,"(2, 1)","(4, 9)",3,0200,3,3,"(1, 1)","(4, 9)",0,1
12,46,0200,3,3,"(1, 1)","(4, 9)",2,2000,3,2,"(1, 2)","(4, 9)",0,1
12,47,2000,3,2,"(1, 2)","(4, 9)",2,2000,3,2,"(1, 3)","(4, 9)",0,1
12,48,2000,3,2,"(1, 3)","(4, 9)",0,2000,3,2,"(1, 4)","(4, 9)",0,1
12,49,2000,3,2,"(1, 4)","(4, 9)",0,2000,3,2,"(1, 5)","(4, 9)",0,1
12,50,2000,3,2,"(1, 5)","(4, 9)",3,0203,3,3,"(0, 5)","(4, 9)",0,1
